Employee,Region,Sales,Target,Expenses
Lydia Ragsdall,North,58221.94,83288.83,68703.94
Ailee Giraudat,East,59321.91,106101.78,49322.5
Marci Poff,West,199940.86,96666.12,69906.21
Alan Queenborough,East,205285.97,75272.44,79622.41
Graeme Oxherd,East,118813.99,136442.72,36612.4
Rube Whiskin,North,80635.6,96438.63,45649.17
Luise Piers,West,231446.29,189028.67,72471.56
Ursula Grinval,East,94863.99,105535.7,79396.25
Aliza Gaither,North,75333.57,89067.57,79065.91
Merilee Skaid,East,179769.99,124169.43,40362.68
Corene Ingilson,East,118612.3,79455.79,21051.27
Sissie Fullager,East,205005.07,114642.18,20576.81
Shurlocke Fish,North,164663.85,95427.83,76784.21
Anthiathia Karran,South,186743.55,198077.24,58077.85
Yank Kopelman,East,220319.2,78024.97,41674.75
Patsy Cancellor,West,192412.15,182096.56,64051.69
